"ID","12142020-cnf-1","12172020cl3","12182020cl1","12192020cml1","12202020","12212020","12232020cp","12252020cp2f"
"1086632|CE1086631_25510",NA,NA,1,NA,NA,NA,NA,NA
"108718|CE108717_6042",NA,NA,2,NA,NA,NA,NA,NA
"1088357|CE1088356_568",NA,NA,NA,NA,NA,NA,NA,2
"1088664|CE1088663_1208",NA,8,NA,NA,NA,NA,NA,NA
"1089203|CE1089202_11969",NA,10,1,NA,NA,4,NA,1
"1089767|CE1089766_200",NA,NA,NA,NA,NA,2,NA,1
"1089981|CE1089980_8046",NA,4,6,4,4,8,NA,4
"1090039|CE1090038_27725",NA,3,2,2,3,4,2,NA
"1090631|CE1090630_396",NA,NA,NA,NA,NA,2,NA,NA
"1090689|CE1090688_5484",2,1,NA,NA,NA,NA,NA,NA
"1091432|CE1091431_4217",2,NA,2,NA,NA,NA,NA,NA
"1091882|CE1091881_25236",1,1,2,4,9,9,3,27
"1092909|CE1092908_8459",NA,NA,NA,NA,NA,NA,NA,2
"1093145|CE1093144_334",NA,NA,NA,NA,NA,NA,NA,2
"1093160|CE1093159_10872",NA,NA,NA,2,NA,NA,NA,2
"1094479|CE1094478_4129",NA,NA,2,2,2,NA,NA,2
"1094609|CE1094608_8090",4,NA,NA,NA,NA,2,NA,NA
"1094778|CE1094777_1076",4,NA,NA,NA,NA,2,NA,NA
"1095903|CE1095902_2752",1,NA,NA,NA,NA,NA,NA,NA
"109915|CE109914_15275",NA,NA,1,NA,NA,NA,NA,NA
"1099929|CE1099928_48731",NA,NA,NA,2,NA,NA,NA,NA
"110036|CE110035_8942",NA,NA,NA,2,NA,NA,NA,13
"1100491|CE1100490_837",NA,NA,NA,NA,2,NA,NA,NA
"1100877|CE1100876_8301",NA,NA,NA,NA,NA,NA,3,NA
"1101622|CE1101621_1082",NA,NA,NA,NA,2,NA,NA,NA
"1103610|CE1103609_25647",NA,1,2,NA,NA,NA,NA,NA
"1103821|CE1103820_8298",NA,NA,NA,NA,2,NA,NA,NA
"1103841|CE1103840_652",NA,NA,NA,NA,2,NA,NA,NA
"1103942|CE1103941_2259",NA,1,NA,NA,1,2,1,3
"1104622|CE1104621_213",NA,NA,NA,2,NA,NA,NA,NA
"1105038|CE1105037_45747",24,4,3,11,4,7,6,33
"1105389|CE1105388_1052",NA,NA,NA,NA,NA,NA,NA,2
"1105499|CE1105498_6948",NA,NA,NA,2,NA,NA,NA,NA
"1105845|CE1105844_571",NA,NA,2,NA,NA,NA,NA,NA
"1106481|CE1106480_2167",NA,NA,2,NA,NA,NA,NA,NA
"1106608|CE1106607_2865",NA,NA,NA,2,NA,NA,NA,NA
"1106994|CE1106993_51",NA,2,NA,NA,NA,2,NA,NA
"1107500|CE1107499_3787",NA,1,NA,NA,NA,NA,NA,NA
