(species=Irpex lackeys)(type=Full)(curator=GO)
1277251 = 4707
1277251 = 4674
1277251 = 4672
1277273 = 46983
1277273 = 6350
1277273 = 3677
1277273 = 5634
1277273 = 3899
1277299 = 16192
1277299 = 5515
1277299 = 30117
1277299 = 6461
1277299 = 5488
1277299 = 30131
1277299 = 6886
1277299 = 8565
1277337 = 6810
1277388 = 47372
1277392 = 8496
1277392 = 3824
1277504 = 7018
1277504 = 3777
1277504 = 5875
1277504 = 5524
1277536 = 16020
1277596 = 7264
1277596 = 8152
1277596 = 5085
1277596 = 8080
1277601 = 51443
1277601 = 51440
1277601 = 6464
1277601 = 6512
1277601 = 5622
1277601 = 51438
1277601 = 51444
1277601 = 4842
1277643 = 166
1277643 = 17111
1277667 = 5622
1277667 = 7165
1277667 = 51056
1277667 = 7264
1277667 = 5085
1277701 = 6614
1277701 = 48500
1277701 = 8312
1277742 = 8152
1277742 = 16787
1277826 = 16491
1277826 = 19798
1277826 = 43734
1277826 = 10302
1277826 = 6118
1277826 = 18602
1277826 = 907
1277867 = 16671
1277867 = 19538
1277947 = 16491
1277947 = 8152
1277947 = 47560
1277953 = 16614
1277953 = 47735
1277953 = 50660
1277977 = 4560
1277977 = 5975
1277992 = 3960
1278003 = 51341
1278003 = 43738
1278003 = 43826
1278003 = 43883
1278006 = 6118
1278006 = 6099
1278006 = 51536
1278006 = 16491
1278006 = 9055
1278006 = 8177
1278012 = 8171
1278012 = 47146
1278024 = 5576
1278024 = 30248
1278024 = 4553
1278024 = 5975
1278052 = 5515
1278086 = 4339
1278086 = 5976
1278086 = 3824
1278113 = 5952
1278113 = 6468
1278113 = 4672
1278113 = 4674
1278113 = 5524
1278113 = 4691
1278123 = 8565
1278123 = 16192
1278123 = 5515
1278123 = 5198
1278123 = 30130
1278123 = 6461
1278123 = 6886
1278123 = 30132
1278124 = 4609
1278124 = 8654
1278140 = 7242
1278140 = 5622
1278140 = 7165
1278146 = 8152
1278146 = 16491
1278153 = 8270
1278153 = 3676
1278161 = 45127
1278163 = 3676
1278166 = 4344
1278166 = 45703
1278166 = 18449
1278166 = 18450
1278166 = 8152
1278166 = 16491
1278166 = 18447
1278166 = 42469
1278166 = 18448
1278166 = 18446
1278172 = 3864
1278172 = 3824
1278172 = 15940
1278200 = 4386
1278200 = 8026
1278200 = 5524
1278200 = 3676
1278270 = 16491
1278270 = 8152
1278286 = 5622
1278286 = 3735
1278286 = 5840
1278286 = 6412
1278286 = 15935
1278286 = 3983
1278379 = 16787
1278379 = 5737
1278379 = 30163
1278379 = 17111
1278379 = 5634
1278379 = 166
1278379 = 5524
1278386 = 5634
1278386 = 6397
1278451 = 3824
1278482 = 4192
1278482 = 4194
1278482 = 6508
1278482 = 4190
1278523 = 5975
1278523 = 4553
1278542 = 16020
1278542 = 5509
1278550 = 5351
1278550 = 8643
1278550 = 16020
1278550 = 16021
1278550 = 6810
1278550 = 5215
1278579 = 3723
1278612 = 16787
1278612 = 4416
1278643 = 50660
1278643 = 4458
1278643 = 16491
1278643 = 3824
1278720 = 32115
1278720 = 16491
1278720 = 8152
1278728 = 16021
1278728 = 5524
1278728 = 15412
1278728 = 6810
1278728 = 42626
1278728 = 17111
1278728 = 16887
1278728 = 166
1278812 = 8152
1278812 = 4061
1278812 = 16787
1278814 = 7018
1278814 = 3777
1278814 = 5875
1278814 = 5524
1278834 = 5351
1278834 = 16021
1278834 = 139
1278834 = 8643
1278855 = 43365
1278902 = 16020
1278902 = 5515
1278902 = 16192
1278910 = 6412
1278910 = 5622
1278910 = 5840
1278910 = 3723
1278910 = 3676
1278910 = 3735
1278954 = 16020
1278954 = 15662
1278954 = 16021
1278954 = 5524
1278954 = 6812
1278954 = 6810
1278954 = 16820
1278954 = 5388
1278993 = 6118
1278993 = 8152
1278993 = 16491
1278993 = 4497
1278993 = 6725
1278993 = 18662
1278995 = 4402
1279012 = 47953
1279015 = 5634
1279015 = 4407
1279015 = 16575
1279028 = 4017
1279071 = 16158
1279071 = 3993
1279088 = 51287
1279088 = 6108
1279088 = 4470
1279088 = 16616
1279088 = 16619
1279089 = 3887
1279089 = 166
1279089 = 6139
1279089 = 3677
1279089 = 34061
1279089 = 3676
1279089 = 6260
1279106 = 16787
1279122 = 35023
1279122 = 5622
1279122 = 5089
1279182 = 16491
1279182 = 4754
1279182 = 6118
1279232 = 4594
1279232 = 5524
1279232 = 15937
1279248 = 5488
1279248 = 6886
1279248 = 30117
1279248 = 5515
1279248 = 8565
1279248 = 6461
1279248 = 16192
1279248 = 30131
1279256 = 4674
1279256 = 4682
1279256 = 5524
1279281 = 16616
1279281 = 48037
1279281 = 51287
1279281 = 4617
1279281 = 8152
1279320 = 8755
1279320 = 8376
1279320 = 30
1279320 = 16759
1279320 = 16253
1279320 = 18717
1279320 = 46921
1279320 = 4576
1279320 = 19187
1279320 = 4583
1279320 = 42283
1279320 = 8417
1279320 = 31278
1279320 = 18715
1279320 = 8375
1279320 = 46527
1279320 = 8378
1279320 = 8921
1279320 = 42281
1279320 = 46920
1279320 = 18716
1279320 = 19112
1279320 = 33556
1279320 = 33
1279320 = 9
1279320 = 18718
1279320 = 3980
1279320 = 45140
1279320 = 4376
1279320 = 1962
1279320 = 26
1279332 = 5622
1279332 = 3746
1279332 = 5525
1279332 = 3924
1279332 = 6414
1279332 = 18024
1279336 = 3968
1279341 = 51438
1279341 = 4842
1279341 = 51444
1279341 = 51443
1279341 = 51440
1279374 = 5622
1279374 = 5086
1279374 = 32012
1279388 = 6118
1279388 = 5506
1279388 = 20037
1279388 = 4497
1279389 = 8828
1279389 = 8758
1279389 = 8413
1279389 = 16462
1279389 = 8796
1279389 = 43141
1279389 = 4787
1279389 = 5525
1279389 = 19176
1279389 = 19177
1279389 = 810
1279425 = 16787
1279425 = 4806
1279425 = 8152
1279509 = 3677
1279509 = 5488
1279509 = 5622
1279522 = 16887
1279522 = 17116
1279522 = 19538
1279522 = 17111
1279522 = 5524
1279522 = 5515
1279522 = 15462
1279522 = 42623
1279522 = 166
1279522 = 42626
1279522 = 8026
1279522 = 4004
1279522 = 42624
1279522 = 4003
1279522 = 8186
1279522 = 8094
1279522 = 42625
1279523 = 6468
1279523 = 4682
1279523 = 4674
1279523 = 5524
1279523 = 4672
1279579 = 5743
1279579 = 16651
1279579 = 6118
1279597 = 4237
1279597 = 8239
1279597 = 6508
1279635 = 5622
1279635 = 3735
1279635 = 5840
1279635 = 6412
1279732 = 5840
1279732 = 3735
1279732 = 5622
1279732 = 6412
1279756 = 5089
1279756 = 5622
1279756 = 35023
1279760 = 9165
1279760 = 4749
1279760 = 287
1279766 = 6464
1279816 = 6468
1279816 = 4672
1279816 = 5524
1279816 = 4707
1279816 = 4674
1279832 = 16021
1279832 = 6865
1279832 = 16020
1279832 = 15171
1279832 = 6810
1279893 = 3676
1279904 = 3676
1279904 = 8270
1279919 = 6350
1280012 = 8094
1280012 = 5524
1280012 = 6270
1280012 = 3677
1280012 = 5634
1280016 = 4857
1280016 = 8073
1280058 = 6396
1280058 = 5622
1280081 = 6508
1280081 = 19131
1280081 = 4289
1280081 = 8236
1280122 = 48037
1280122 = 51287
1280122 = 8152
1280122 = 8863
1280122 = 16616
1280122 = 9326
1280123 = 4468
1280154 = 17111
